for 0.6
Front Nose down 
A:  -0.9 -37.4 | G:   -0.2   -8.5    0.2 | P:   1.2  50.0  -0.5 | M: 1148 1050 1052 1150 | V: 11907 | T: 690 us
A:  -0.8 -36.5 | G:    0.5   -7.8   -0.4 | P:   0.7  48.5   0.9 | M: 1148 1052 1052 1148 | V: 11907 | T: 690 us
A:  -0.9 -36.6 | G:   -0.1  -16.0    0.3 | P:   1.1  53.5  -0.6 | M: 1152 1046 1048 1154 | V: 11907 | T: 690 us
A:  -0.9 -35.1 | G:   -0.1  -16.0    0.8 | P:   1.2  51.7  -1.6 | M: 1149 1049 1049 1153 | V: 11907 | T: 689 us
A:  -0.9 -33.3 | G:   -0.9  -13.8    2.7 | P:   1.7  48.2  -5.5 | M: 1142 1056 1048 1154 | V: 11907 | T: 689 us
A:  -0.9 -31.5 | G:   -1.5  -14.0    3.7 | P:   2.0  46.3  -7.4 | M: 1138 1060 1048 1154 | V: 11907 | T: 690 us
A:  -0.6 -29.7 | G:   -0.8  -14.3    1.9 | P:   1.2  44.2  -3.9 | M: 1140 1058 1054 1148 | V: 11907 | T: 689 us
A:  -0.5 -28.5 | G:   -0.2  -17.2    0.4 | P:   0.7  44.6  -0.8 | M: 1144 1056 1056 1144 | V: 11899 | T: 689 us
A:  -0.6 -26.9 | G:   -0.4  -20.0    0.7 | P:   1.0  44.2  -1.4 | M: 1143 1057 1055 1145 | V: 11907 | T: 689 us
A:  -0.9 -25.0 | G:   -1.0  -17.4    3.8 | P:   1.7  40.4  -7.7 | M: 1132 1066 1054 1148 | V: 11903 | T: 689 us
A:  -0.6 -22.8 | G:   -1.0  -17.9    3.1 | P:   1.3  38.1  -6.2 | M: 1131 1067 1057 1145 | V: 11903 | T: 689 us
A:  -0.4 -20.6 | G:   -0.0  -17.8    1.9 | P:   0.5  35.4  -3.8 | M: 1132 1068 1062 1138 | V: 11907 | T: 689 us
A:  -0.3 -18.5 | G:    0.2  -16.5    0.4 | P:   0.2  32.1  -0.8 | M: 1132 1068 1068 1132 | V: 11903 | T: 689 us
A:  -0.2 -16.9 | G:    0.3  -19.3   -1.1 | P:   0.1  31.8   2.2 | M: 1133 1067 1071 1129 | V: 11899 | T: 689 us
A:  -0.4 -15.0 | G:    0.4  -22.7   -0.3 | P:   0.3  31.6   0.5 | M: 1131 1069 1069 1131 | V: 11903 | T: 689 us
A:  -0.6 -12.5 | G:   -0.0  -18.3    1.0 | P:   0.8  26.0  -1.9 | M: 1125 1075 1073 1127 | V: 11907 | T: 689 us
A:  -0.5 -10.1 | G:   -0.3  -13.7    0.5 | P:   0.8  20.3  -1.0 | M: 1120 1080 1080 1120 | V: 11907 | T: 689 us
A:  -0.5  -8.2 | G:    0.1  -13.0    0.8 | P:   0.5  17.6  -1.6 | M: 1116 1084 1082 1118 | V: 11907 | T: 689 us
A:   0.1  -5.8 | G:    0.4   -8.0    0.1 | P:  -0.3  11.8  -0.2 | M: 1111 1089 1089 1111 | V: 11907 | T: 689 us
A:   0.2  -4.6 | G:    0.4   -9.6   -1.0 | P:  -0.5  11.3   2.1 | M: 1113 1087 1091 1109 | V: 11899 | T: 689 us
A:  -0.0  -4.1 | G:    0.2  -12.9   -1.5 | P:  -0.1  12.7   3.1 | M: 1115 1085 1091 1109 | V: 11907 | T: 689 us
A:  -0.4  -2.5 | G:    0.1   -8.4   -0.6 | P:   0.4   8.0   1.1 | M: 1109 1091 1093 1107 | V: 11903 | T: 689 us
A:  -0.0  -0.8 | G:    0.2   -0.1   -0.0 | P:  -0.1   1.0   0.0 | M: 1100 1100 1100 1100 | V: 11903 | T: 689 us
A:  -0.1  -0.5 | G:   -0.2   -0.4   -0.1 | P:   0.2   0.8   0.1 | M: 1100 1100 1100 1100 | V: 11903 | T: 689 us
A:   0.0  -0.3 | G:    0.2    0.1   -0.2 | P:  -0.1   0.3   0.4 | M: 1100 1100 1100 1100 | V: 11903 | T: 689 us
A:  -0.2  -0.2 | G:   -0.9   -0.9   -0.0 | P:   0.8   0.8   0.0 | M: 1100 1100 1100 1100 | V: 11903 | T: 689 us
A:  -0.0  -0.1 | G:   -0.1   -0.2    0.1 | P:   0.1   0.2  -0.2 | M: 1100 1100 1100 1100 | V: 11903 | T: 689 us
A:  -0.0  -0.1 | G:    0.1    0.1   -0.0 | P:  -0.0   0.1   0.0 | M: 1100 1100 1100 1100 | V: 11903 | T: 689 us
A:  -0.0  -0.1 | G:   -0.0   -0.1   -0.1 | P:   0.0   0.1   0.1 | M: 1100 1100 1100 1100 | V: 11903 | T: 689 us
A:   0.8   0.8 | G:    4.4   -2.1   -7.4 | P:  -3.6   0.3  14.9 | M: 1117 1089 1111 1083 | V: 11903 | T: 689 us
A:  -0.2  -0.1 | G:   -0.4    0.0   -0.4 | P:   0.4   0.2   0.9 | M: 1100 1100 1100 1100 | V: 11907 | T: 689 us
A:  -0.0  -0.2 | G:   -0.0    0.1   -0.4 | P:   0.1   0.1   0.9 | M: 1100 1100 1100 1100 | V: 11907 | T: 689


front nose up 

A:  -0.1  -0.0 | G:    0.1   -0.1    0.1 | P:   0.1   0.1  -0.2 | M: 1100 1100 1100 1100 | V: 11915 | T: 689 us
A:  -0.1  -0.0 | G:   -0.0    0.1   -0.1 | P:   0.1  -0.0   0.1 | M: 1100 1100 1100 1100 | V: 11911 | T: 689 us
A:  -0.1  -0.0 | G:   -0.0   -0.1   -0.0 | P:   0.1   0.1   0.0 | M: 1100 1100 1100 1100 | V: 11911 | T: 689 us
A:  -0.1  -0.1 | G:   -0.0   -0.3   -0.1 | P:   0.2   0.2   0.3 | M: 1100 1100 1100 1100 | V: 11915 | T: 689 us
A:  -0.1  -0.0 | G:    0.1    0.0   -0.0 | P:   0.1   0.0   0.0 | M: 1100 1100 1100 1100 | V: 11911 | T: 689 us
A:  -0.1  -0.1 | G:   -0.0   -0.4   -0.1 | P:   0.1   0.3   0.3 | M: 1100 1100 1100 1100 | V: 11915 | T: 689 us
